997 root root 255 255 255 None None
480149270 Mediomedial anterior visual area, layer 4 VISmma4 26 166 152 None 480149258
480149274 Mediomedial anterior visual area,layer 5 VISmma5 26 166 152 None 480149258
480149278 Mediomedial anterior visual area, layer 6a VISmma6a 26 166 152 None 480149258
480149282 Mediomedial anterior visual area, layer 6b VISmma6b 26 166 152 None 480149258
480149286 Mediomedial posterior visual area VISmmp 26 166 152 None 894
480149290 Mediomedial posterior visual area, layer 1 VISmmp1 26 166 152 None 480149286
480149294 Mediomedial posterior visual area, layer 2/3 VISmmp2/3 26 166 152 None 480149286
480149298 Mediomedial posterior visual area, layer 4 VISmmp4 26 166 152 None 480149286
480149302 Mediomedial posterior visual area,layer 5 VISmmp5 26 166 152 None 480149286
480149306 Mediomedial posterior visual area, layer 6a VISmmp6a 26 166 152 None 480149286
480149310 Mediomedial posterior visual area, layer 6b VISmmp6b 26 166 152 None 480149286
480149314 Medial visual area VISm 26 166 152 None 894
480149318 Medial visual area, layer 1 VISm1 26 166 152 None 480149314
480149322 Medial visual area, layer 2/3 VISm2/3 26 166 152 None 480149314
480149326 Medial visual area, layer 4 VISm4 26 166 152 None 480149314
480149330 Medial visual area,layer 5 VISm5 26 166 152 None 480149314
480149334 Medial visual area, layer 6a VISm6a 26 166 152 None 480149314
480149338 Medial visual area, layer 6b VISm6b 26 166 152 None 480149314
879 Retrosplenial area, dorsal part RSPd 26 166 152 None 254
442 Retrosplenial area, dorsal part, layer 1 RSPd1 26 166 152 None 879
434 Retrosplenial area, dorsal part, layer 2/3 RSPd2/3 26 166 152 None 879
545 Retrosplenial area, dorsal part, layer 4 RSPd4 26 166 152 None 879
610 Retrosplenial area, dorsal part, layer 5 RSPd5 26 166 152 None 879
274 Retrosplenial area, dorsal part, layer 6a RSPd6a 26 166 152 None 879
330 Retrosplenial area, dorsal part, layer 6b RSPd6b 26 166 152 None 879
886 Retrosplenial area, ventral part RSPv 26 166 152 None 254
542 Retrosplenial area, ventral part, layer 1 RSPv1 26 166 152 None 886
606 Retrosplenial area, ventral part, layer 2 RSPv2 26 166 152 None 886
430 Retrosplenial area, ventral part, layer 2/3 RSPv2/3 26 166 152 None 886
687 Retrosplenial area, ventral part, layer 5 RSPv5 26 166 152 None 886
590 Retrosplenial area, ventral part, layer 6a RSPv6a 26 166 152 None 886
622 Retrosplenial area, ventral part, layer 6b RSPv6b 26 166 152 None 886
22 Posterior parietal association areas PTLp 0 159 172 None 315
532 Posterior parietal association areas, layer 1 PTLp1 0 159 172 None 22
241 Posterior parietal association areas, layer 2/3 PTLp2/3 0 159 172 None 22
635 Posterior parietal association areas, layer 4 PTLp4 0 159 172 None 22
683 Posterior parietal association areas, layer 5 PTLp5 0 159 172 None 22
308 Posterior parietal association areas, layer 6a PTLp6a 0 159 172 None 22
340 Posterior parietal association areas, layer 6b PTLp6b 0 159 172 None 22
312782546 Anterior area VISa 0 159 172 None 22
312782550 Anterior area, layer 1 VISa1 0 159 172 None 312782546
312782554 Anterior area, layer 2/3 VISa2/3 0 159 172 None 312782546
312782558 Anterior area, layer 4 VISa4 0 159 172 None 312782546
312782562 Anterior area, layer 5 VISa5 0 159 172 None 312782546
312782566 Anterior area, layer 6a VISa6a 0 159 172 None 312782546
312782570 Anterior area, layer 6b VISa6b 0 159 172 None 312782546
417 Rostrolateral visual area VISrl 0 159 172 None 22
312782604 Rostrolateral area, layer 1 VISrl1 0 159 172 None 417
312782608 Rostrolateral area, layer 2/3 VISrl2/3 0 159 172 None 417
312782612 Rostrolateral area, layer 4 VISrl4 0 159 172 None 417
312782616 Rostrolateral area, layer 5 VISrl5 0 159 172 None 417
312782620 Rostrolateral area, layer 6a VISrl6a 0 159 172 None 417
312782624 Rostrolateral area, layer 6b VISrl6b 0 159 172 None 417
541 Temporal association areas TEa 21 176 179 None 315
97 Temporal association areas, layer 1 TEa1 21 176 179 None 541
1127 Temporal association areas, layer 2/3 TEa2/3 21 176 179 None 541
234 Temporal association areas, layer 4 TEa4 21 176 179 None 541
289 Temporal association areas, layer 5 TEa5 21 176 179 None 541
729 Temporal association areas, layer 6a TEa6a 21 176 179 None 541
786 Temporal association areas, layer 6b TEa6b 21 176 179 None 541
922 Perirhinal area PERI 14 150 132 None 315
540 Perirhinal area, layer 1 PERI1 14 150 132 None 922
888 Perirhinal area, layer 2/3 PERI2/3 14 150 132 None 922
692 Perirhinal area, layer 5 PERI5 14 150 132 None 922
335 Perirhinal area, layer 6a PERI6a 14 150 132 None 922
368 Perirhinal area, layer 6b PERI6b 14 150 132 None 922
895 Ectorhinal area ECT 13 159 145 None 315
836 Ectorhinal area/Layer 1 ECT1 13 159 145 None 895
427 Ectorhinal area/Layer 2/3 ECT2/3 13 159 145 None 895
988 Ectorhinal area/Layer 5 ECT5 13 159 145 None 895
977 Ectorhinal area/Layer 6a ECT6a 13 159 145 None 895
1045 Ectorhinal area/Layer 6b ECT6b 13 159 145 None 895
698 Olfactory areas OLF 154 210 189 None 695
507 Main olfactory bulb MOB 154 210 189 None 698
212 Main olfactory bulb, glomerular layer MOBgl 130 199 174 None 507
220 Main olfactory bulb, granule layer MOBgr 130 199 174 None 507
228 Main olfactory bulb, inner plexiform layer MOBipl 154 210 189 None 507
236 Main olfactory bulb, mitral layer MOBmi 130 199 174 None 507
244 Main olfactory bulb, outer plexiform layer MOBopl 154 210 189 None 507
151 Accessory olfactory bulb AOB 157 240 210 None 698
188 Accessory olfactory bulb, glomerular layer AOBgl 157 240 210 None 151
196 Accessory olfactory bulb, granular layer AOBgr 149 228 200 None 151
204 Accessory olfactory bulb, mitral layer AOBmi 157 240 210 None 151
159 Anterior olfactory nucleus AON 84 191 148 None 698
167 Anterior olfactory nucleus, dorsal part AONd 84 191 148 None 159
175 Anterior olfactory nucleus, external part AONe 84 191 148 None 159
183 Anterior olfactory nucleus, lateral part AONl 84 191 148 None 159
191 Anterior olfactory nucleus, medial part AONm 84 191 148 None 159
199 Anterior olfactory nucleus, posteroventral part AONpv 84 191 148 None 159
160 Anterior olfactory nucleus, layer 1 AON1 84 191 148 None 159
168 Anterior olfactory nucleus, layer 2 AON2 84 191 148 None 159
589 Taenia tecta TT 98 208 159 None 698
597 Taenia tecta, dorsal part TTd 98 208 159 None 589
297 Taenia tecta, dorsal part, layers 1-4 TTd1-4 98 208 159 None 597
1034 Taenia tecta, dorsal part, layer 1 TTd1 98 208 159 None 597
1042 Taenia tecta, dorsal part, layer 2 TTd2 98 208 159 None 597
1050 Taenia tecta, dorsal part, layer 3 TTd3 98 208 159 None 597
1059 Taenia tecta, dorsal part, layer 4 TTd4 98 208 159 None 597
605 Taenia tecta, ventral part TTv 98 208 159 None 589
306 Taenia tecta, ventral part, layers 1-3 TTv1-3 98 208 159 None 605
1067 Taenia tecta, ventral part, layer 1 TTv1 98 208 159 None 605
1075 Taenia tecta, ventral part, layer 2 TTv2 98 208 159 None 605
1082 Taenia tecta, ventral part, layer 3 TTv3 98 208 159 None 605
814 Dorsal peduncular area DP 164 218 164 None 698
496 Dorsal peduncular area, layer 1 DP1 164 218 164 None 814
535 Dorsal peduncular area, layer 2 DP2 164 218 164 None 814
